"Localized Device Description","Country","Esn","Region Code Display Name","Ip","Device Description","Ts","Near Location"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:a63f:8193:0:0:5cc1:3366","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-30 03:01:56","ATALI"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:8667:f89c:0:0:5faa:555f","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-29 18:31:17","AZIZPUR"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:bcab:bc0b:0:0:2e43:7f75","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-29 09:33:37","TAJGANJ"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:84dd:21f9:0:0:5ad4:6c7a","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-29 09:05:12","BALRAU"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:bba1:ed7c:0:0:1265:c69b","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-29 05:54:20","AURAIYA"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","223.188.7.178","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-28 16:08:54","SAHARANPUR"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:bbbd:e00f:0:0:11fd:6c55","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-28 14:23:06","MATHURA"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","106.219.199.12","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-28 08:26:11","BHARI NAGLA"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttarakhand","2401:4900:86bd:1f9f:0:0:627c:753e","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-28 05:22:16","CHANOTI"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","110.226.203.192","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-27 06:29:26","KALCHHINA"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:8257:a925:0:0:59b3:f06e","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-27 02:40:01","MEERUT CITY"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:a679:e14c:0:0:5b06:a92","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-26 19:12:59","DAHIPAGAR"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttarakhand","2401:4900:86a5:4c83:0:0:618f:8812","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-26 17:35:12","DEHRADUN"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","106.219.193.71","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-26 14:40:45","AWAKHERA"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","106.219.195.208","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-26 07:20:07","AKBARPUR SIHALI"
